,salary,pcsalary,sales,roe,pcroe,ros,lsalary,lsales,industry
62,256,19,526.2999878,22.70000076,24.70000076,175,5.54517746,6.265871525,0
63,775,-10,3195.600098,14.80000019,-32.59999847,12,6.652863026,8.069530487,0
64,1407,80,2762.800049,13.19999981,-17.39999962,28,7.249215126,7.923999786,0
65,543,14,1873.099976,10.30000019,-45,-58,6.297109127,7.535349846,0
66,874,-10,4648.100098,17.70000076,-13.89999962,-6,6.773080349,8.444213867,0
67,1287,-3,16951,10,-1,-21,7.160068989,9.738081932,0
68,1248,16,3506.899902,15.60000038,5,54,7.129297733,8.162487984,1
69,875,-19,5333.100098,6.800000191,27.60000038,-8,6.774223804,8.581687927,1
70,925,-3,3296.199951,12.39999962,-56.90000153,-21,6.82979393,8.100525856,1
71,798,-6,2584,13.10000038,-50.5,10,6.682108402,7.857093811,1
72,760,14,834.4000244,15.80000019,3,55,6.633318424,6.726712704,1
73,600,-41,4068.699951,12.80000019,-32,-6,6.396929741,8.311079025,1
74,991,18,2518.600098,15.30000019,13.30000019,65,6.898714542,7.831458569,1
75,1570,14,10465,0.5,977,36,7.358830929,9.255791664,1
76,911,1,2682.399902,16.5,31.5,23,6.81454277,7.894467354,1
77,1360,12,2688.199951,15.10000038,23,67,7.215240002,7.896626949,1
78,700,-53,6682.299805,13,5.800000191,53,6.551080227,8.807217598,1
79,741,-50,4879.899902,11.10000038,-77.69999695,-26,6.608000755,8.492879868,1
80,1097,143,2772.100098,8.899999619,595.5999756,20,7.000334263,7.927360535,1
81,953,15,1320.400024,17.5,-4.300000191,83,6.859614849,7.185689926,1
82,441,-7,3408.5,15.89999962,-10,37,6.089045048,8.134027481,1
83,595,18,1919.699951,14.19999981,31.39999962,61,6.388561249,7.559924126,1
84,1067,1,19020.5,9.300000191,-37.79999924,4,6.972606182,9.853272438,1
85,1298,3,4778.299805,9.5,-26.70000076,-2,7.168580055,8.471839905,1
86,1798,-31,24332,15.5,-59.5,2,7.494430065,10.09954739,1
87,4143,-10,2678.399902,14.39999962,-12.80000019,42,8.329174995,7.892974854,1
88,1336,8,4481,11.10000038,10.80000019,15,7.197435379,8.407601357,1
89,1750,11,14932.09961,15.89999962,-7.800000191,62,7.467370987,9.611268044,1
90,912,15,2626.399902,16.39999962,0.300000012,70,6.815639973,7.873369217,1
91,1892,-16,2659.5,8.600000381,-1.399999976,126,7.545389652,7.885893345,1
92,833,19,1073.199951,24.60000038,14.39999962,51,6.72503376,6.97840023,1
93,1142,-12,2577.300049,15.39999962,-22.39999962,56,7.040536404,7.854497433,1
94,1159,13,4293.799805,16.89999962,2.599999905,107,7.055312634,8.364927292,1
95,1283,16,18164,7.199999809,-47.29999924,14,7.156956196,9.807196617,1
96,2109,42,9944.400391,11.60000038,-42.20000076,23,7.653969288,9.20476532,1
97,1039,-21,12719,26.39999962,43.40000153,264,6.946013927,9.450852394,1
98,992,42,1931.599976,21.39999962,-9.199999809,52,6.899723053,7.566103935,1
99,1253,4,2993.199951,19.20000076,1.899999976,74,7.133296013,8.004097939,1
100,721,9,2127.199951,15.10000038,-22.29999924,101,6.580639362,7.662561893,1
101,1351,4,4211.899902,9,-18,-4,7.208600521,8.345668793,1
102,1391,25,8489.599609,9.399999619,-27.29999924,26,7.237778187,9.046597481,1
103,1245,25,12222.7998,19,-20.89999962,52,7.126890659,9.411058426,1
104,1550,0,11213.40039,3.5,-55.40000153,6,7.346010208,9.324864388,1
105,2150,-61,5869.600098,22.10000038,-38,68,7.673223019,8.677541733,1
106,1846,20,6193.799805,10.89999962,-14.69999981,6,7.520776272,8.731304169,1
107,573,8,3053.199951,15.10000038,-3.799999952,31,6.350885868,8.023945808,1
108,6640,4,8946,10.19999981,87.59999847,34,8.800867081,9.09896183,1
109,959,49,4045.199951,17.29999924,-7.800000191,51,6.86589098,8.305286407,1
110,612,39,3618.899902,33.29999924,-10.5,68,6.416732311,8.193924904,1
111,1820,69,1796.099976,22.79999924,12.69999981,115,7.506591797,7.493372917,1
112,1411,2,6703.100098,11.10000038,-37.20000076,28,7.252053738,8.810325623,1
113,1026,6,2170.300049,12.39999962,134.6000061,162,6.933423042,7.682620525,1
114,1287,-12,4674,20.89999962,84.19999695,-47,7.160068989,8.449770927,0
115,800,162,3372,6.699999809,29,60,6.684611797,8.123261452,0
116,1115,-9,8205,7.099999905,13.89999962,23,7.016609669,9.012498856,0
117,1631,33,4617,11.80000019,227,75,7.396948814,8.4375,0
118,1910,23,6964,14,2.700000048,43,7.554858685,8.848508835,0
119,996,-3,6623,10.10000038,-63.59999847,10,6.903747082,8.798303604,1
120,918,-35,29797,6.400000095,-95,-28,6.822197437,10.30216312,1
121,1261,21,5225.5,12.39999962,-54.90000153,1,7.139660358,8.561306,1
122,1053,-8,3639,17.60000038,-22.29999924,5,6.959398746,8.199463844,1
123,1221,-43,97649.89844,15.10000038,-85.19999695,-7,7.10742569,11.48914433,1
124,1738,19,10743.59961,23.60000038,11.5,36,7.460490227,9.282065392,1
125,3142,15,10236.2998,35.70000076,27.20000076,155,8.052615166,9.23369503,1
126,1900,26,17802.69922,23.20000076,-7.800000191,142,7.549609184,9.78710556,1
127,427,21,6158.700195,12.39999962,-17.70000076,95,6.056784153,8.725621223,1
128,1700,8,6775.200195,44.40000153,37.70000076,61,7.438383579,8.821023941,1
129,360,103,298.7000122,2.099999905,23.10000038,302,5.886104107,5.699440002,1
130,459,9,785.2999878,18.39999962,-43.09999847,5,6.129050255,6.666065693,1
131,1340,5,1368.599976,16.10000038,12.60000038,115,7.200424671,7.221543789,1
132,729,25,2066.100098,15.10000038,-8.399999619,52,6.591673851,7.633418083,1
133,223,-6,181.5,22.70000076,32.59999847,295,5.407171726,5.201255798,1
134,2101,25,10300,23.39999962,46.90000153,76,7.650168896,9.239899635,1
135,1082,28,11232,25.70000076,-2.400000095,101,6.986566544,9.326521873,1
136,1781,31,5191.600098,27,141,98,7.484930515,8.554797173,1
137,791,18,976.7000122,19.89999962,-13.19999981,89,6.673297882,6.884179592,1
138,2092,-11,7671.5,43.70000076,8.5,80,7.645875931,8.945267677,1
139,1573,10,6406,16.39999962,-11.5,87,7.360739708,8.764990807,1
140,1045,9,2917.399902,11.60000038,-98.90000153,203,6.951772213,7.978447914,1
141,1694,12,3322.899902,24.79999924,23.89999962,100,7.434847832,8.108592987,1
142,453,20,175.1999969,26.20000076,35.59999847,418,6.115891933,5.165928364,1
143,1130,1,1686.300049,44.5,3.400000095,99,7.02997303,7.43029213,1
144,1334,13,514.0999756,22.29999924,62.40000153,358,7.195937157,6.242417812,1
145,1344,13,3032.699951,22.29999924,62.40000153,36,7.20340538,8.017208099,1
146,1585,5,4686.899902,35.09999847,2.200000048,111,7.368339539,8.452527046,1
147,1946,45,8388.099609,13.10000038,5.900000095,88,7.573531151,9.03456974,1
148,1619,9,7632.799805,11,22.60000038,32,7.389564037,8.940210342,1
149,1620,12,17453.80078,19.39999962,-12.80000019,128,7.390181541,9.767313004,1
150,967,-27,5781.100098,28.5,-11,119,6.874198437,8.662349701,1
151,1431,0,6896.200195,43.90000153,3.5,110,7.266129017,8.838726044,1
152,1231,9,6503.100098,26.79999924,19.79999924,84,7.115581989,8.780034065,1
153,770,-4,2715.600098,15.69999981,-2.5,63,6.646390438,7.906768322,1
154,1594,53,2761.899902,15,27.79999924,85,7.37400198,7.923674107,1
155,1568,47,5181.399902,28.20000076,-19.10000038,55,7.357556343,8.552830696,1
156,995,15,1323,15.39999962,74.59999847,195,6.902742863,7.187657356,1
157,1077,-16,5296,20,27.5,36,6.981934547,8.574707031,1
158,1161,9,7177,42.20000076,-2.799999952,68,7.057036877,8.87863636,1
159,1401,1,12183.5,19.60000038,-2.099999905,93,7.244941711,9.407837868,1
160,1127,4,7863.5,16.20000076,26,152,7.027314663,8.969986916,1
161,3068,-14,3825.600098,21.5,-27.60000038,142,8.028780937,8.249470711,1
162,730,7,1110.599976,29.5,20.5,60,6.593044758,7.012655735,1
163,729,-10,1391.300049,22.60000038,-17.20000076,32,6.591673851,7.237993717,1
164,11233,17,6047.899902,22.89999962,9.899999619,74,9.326611519,8.707466125,1
165,949,-11,18908,13,-46.70000076,-3,6.855408669,9.847340584,1
166,3646,-11,3921.5,7.800000191,-64.19999695,29,8.201385498,8.27422905,1
167,1502,212,3453.800049,48.09999847,35.09999847,28,7.314552784,8.147230148,1
168,807,10,1558.5,18,-1,49,6.693323612,7.351479053,1
169,713,8,962.7999878,18,7.599999905,81,6.569481373,6.869845867,1
170,1489,0,25848,21.70000076,380.6000061,114,7.305860043,10.1599884,1
171,736,73,631.5,21.29999924,60.79999924,71,6.601230145,6.448097706,1
172,1226,53,1728.900024,26.89999962,-7.099999905,84,7.111512184,7.455240726,1
173,543,112,2669.300049,30.5,24.89999962,323,6.297109127,7.889571667,1
174,14822,1,2159.199951,19.39999962,-37.29999924,17,9.603867531,7.677493095,1
175,890,-18,2612.600098,15.60000038,-49,-14,6.791221619,7.86810112,1
176,1627,6,8270.299805,19.39999962,-3.700000048,104,7.394493103,9.020425797,1
177,2408,28,44323,29.10000038,9.800000191,160,7.786551952,10.6992588,1
178,2248,6,764.7000122,40.79999924,44.40000153,191,7.717796326,6.639483452,1
179,787,20,5167.5,13.69999981,-4,34,6.668228149,8.550144196,0
180,474,-5,2159.300049,11.10000038,-58.20000076,16,6.161207199,7.677539349,0
181,439,7,2617.100098,10.80000019,-16.10000038,65,6.084499359,7.869822025,0
182,465,11,2367.699951,5.099999905,-25,43,6.142037392,7.769674301,0
183,594,33,2744,12.30000019,-12.19999981,76,6.386879444,7.917171955,0
184,688,-6,2357.899902,7.400000095,-9.699999809,33,6.533788681,7.765526772,0
185,607,12,5262,6.199999809,-94.80000305,59,6.408528805,8.568266869,0
186,634,44,5738.899902,12.69999981,-7,38,6.452048779,8.655022621,0
187,532,2,2714.899902,10.60000038,-21.20000076,35,6.276643276,7.906510353,0
188,441,39,3306.699951,7.400000095,13,150,6.089045048,8.10370636,0
189,694,18,3532.5,12.60000038,-13.80000019,37,6.542471886,8.169760704,0
190,520,-6,3681.5,12.80000019,-7.699999809,64,6.253829002,8.211075783,0
191,757,12,3982.100098,2.900000095,45.40000153,197,6.62936306,8.289565086,0
192,668,30,2996,13.5,-3.299999952,81,6.504288197,8.005033493,0
193,803,18,4178.600098,10.69999981,-29.89999962,52,6.688354492,8.337731361,0
194,500,3,2616.300049,11.89999962,-1.299999952,25,6.214608192,7.869516373,0
195,552,-5,2064.5,12.89999962,-16.79999924,37,6.313548088,7.632643223,0
196,412,-5,2225.5,10.10000038,-27.39999962,13,6.021023273,7.707736969,0
197,1100,58,9470.099609,7.300000191,76.59999847,82,7.003065586,9.155894279,0
198,959,26,3783.199951,14.60000038,5,65,6.86589098,8.238325119,0
199,333,34,2388.699951,13.80000019,6.5,59,5.808142662,7.778504372,0
200,503,-19,3705.199951,8.899999619,-96.80000305,29,6.220590115,8.217492104,0
201,448,-8,1411.699951,14,-33.5,14,6.104793072,7.252550125,0
202,732,7,4800.100098,12.89999962,-11.19999981,36,6.595780373,8.476391792,0
203,720,8,1771.900024,14.5,13.60000038,78,6.579251289,7.479807854,0
204,808,-16,7198.5,14.69999981,7.400000095,49,6.694561958,8.881628036,0
205,930,10,1509.099976,9,20.5,131,6.835184574,7.319268703,0
206,525,3,1097.099976,15.5,20.10000038,72,6.26339817,7.000425816,0
207,658,32,4542.600098,12.10000038,-7.800000191,68,6.489204884,8.421255112,0
208,555,6,2023,13.69999981,-14.60000038,60,6.318968296,7.612336636,0
209,626,0,1442.5,14.39999962,-10.19999981,62,6.439350605,7.274133205,0
